id,M9_solder_measurement,M9_board_measurement,M8_solder_measurement,M8_board_measurement,M7_solder_measurement,M7_board_measurement,M9_board_measurement_sm,M9_solder_measurement_sm,M8_board_measurement_sm,M8_solder_measurement_sm,M7_board_measurement_sm,M7_solder_measurement_sm,M9_solder_simulation,M9_board_simulation,M8_solder_simulation,M8_board_simulation,M7_solder_simulation,M7_board_simulation
194,199.9811,229.225,178.42,200.8702,159.8409,186.269,229.49838689114,199.977068594938,202.351676615159,178.554519647445,186.813234145833,159.898440033666,112.106865,139.897454,105.759223,132.092998,100.185764,124.788949
195,200.749,230.548,179.229,201.9209,160.647,187.6043,230.512754528329,200.867375138593,203.530574487564,179.357662822028,187.467855047559,160.739979249166,112.502753,140.217295,106.136171,132.400337,100.538821,125.078829
196,201.5573,232.5912,180.0785,203.3754,161.3727,187.402,231.430313131487,201.770458272369,204.980323146687,180.17924700606,188.132109437312,161.578443048274,112.896311,140.533596,106.51089,132.704215,100.889786,125.365393
197,202.4462,232.0705,180.8472,206.0006,162.1791,188.5754,232.297656683467,202.672251974376,206.530127369507,181.018051579111,188.764060948069,162.405909444292,113.287552,140.846409,106.883389,133.004685,101.238668,125.648692
198,203.4562,231.9103,181.5754,208.9471,163.1875,190.6793,233.161379167119,203.558690222726,208.009191933003,181.872855920747,189.32177321281,163.214456450517,113.676483,141.155788,107.253679,133.301799,101.585475,125.928777
199,204.4257,233.4321,182.5869,210.8432,164.1962,191.2457,233.994639883148,204.436275526456,209.570527047268,182.755382495711,189.740527855748,164.001330385384,114.063116,141.461785,107.621767,133.595608,101.930216,126.205698
200,205.3545,234.6728,183.6793,211.0852,164.8821,190.2343,234.757067746614,205.316848712691,211.374048814678,183.670356672931,190.034884218395,164.771749330312,114.448563,142.256863,107.988569,134.270898,102.273786,126.874023
201,206.3639,234.3127,184.8528,213.4638,165.5683,190.3152,235.474961161898,206.194351236671,213.25932085064,184.606062188256,190.281822509678,165.529748943079,114.83445,143.241507,108.355214,135.092827,102.617352,127.696604
202,207.131,235.5531,186.0263,217.1297,166.3757,191.1244,236.174618533381,207.062724553634,215.065906770562,185.550782777534,190.558322938522,166.279364881465,115.224046,143.935263,108.724906,135.689437,102.964172,128.282563
203,208.0997,237.8321,186.7546,217.7738,167.2236,191.7717,236.882338265447,207.915910118821,216.63337018985,186.492802176612,190.941365713854,167.02463280325,115.621413,144.565633,109.098896,136.229708,103.31543,128.810763
204,208.8664,239.0308,187.4829,217.2907,167.9102,191.6503,237.618475285883,208.765147985432,217.975114505469,187.445494261357,191.24739470739,167.731614371236,116.026977,145.170946,109.478934,136.750494,103.672919,129.318832
205,209.5524,238.1918,188.2922,219.6653,168.516,191.5694,238.365281030812,209.616468980139,219.229859662774,188.419125442975,191.396964937731,168.394756729827,116.44253,145.766144,109.86614,137.26244,104.037726,129.817788
206,210.3188,239.1107,189.2228,222.1988,169.1219,191.529,239.091898667121,210.456000718387,220.425144099756,189.397318260329,191.623223334129,169.060673759197,116.8688,146.358391,110.261078,137.770843,104.410463,130.313125
207,211.2868,240.4684,190.0319,221.1936,169.7279,191.4885,239.767471361696,211.269870815623,221.588506254404,190.36369525228,192.159316825836,169.775979339522,117.305998,146.950725,110.663843,138.278255,104.791182,130.807479
208,212.0126,240.2288,191.1648,221.3947,170.4147,191.7312,240.391513993332,212.085415277705,222.684935040076,191.324438083184,193.036986284911,170.527203400419,117.753815,147.544548,111.074207,138.785778,105.179692,131.301893
209,212.698,239.7497,192.2976,223.2437,171.0612,192.3785,240.981610954557,212.918324284338,223.684180329214,192.292436912986,194.098894389561,171.277812302026,118.211646,148.140144,111.491713,139.293649,105.575534,131.796634
210,213.4638,241.2667,193.1875,224.208,171.8291,193.4708,241.534009682854,213.73725671174,224.620921998435,193.261377023928,195.294570778267,172.0398245703,118.678721,148.73719,111.9158,139.801709,105.978132,132.291519
211,214.1893,242.1844,194.3606,223.8063,172.6375,195.2504,242.04495761571,214.510871436127,225.529839924359,194.224943698252,196.573545089509,172.825258731198,119.15417,149.335161,112.345791,140.309587,106.386811,132.786254
212,215.116,241.7855,195.4931,225.9349,173.4055,197.798,242.510702190606,215.207827333714,226.445613983604,195.176822218204,197.885346961766,173.646133310676,119.637087,149.933429,112.781006,140.816859,106.800883,133.280334
213,216.0424,243.0619,196.3019,228.9042,174.2949,200.5469,242.838881830957,215.837566900845,227.379783871859,196.126511534445,199.438938905075,174.519219325417,120.126567,150.531225,113.220762,141.322937,107.219666,133.773249
214,216.8478,244.8957,197.151,229.666,175.2654,202.0825,243.03230847389,216.428775412724,228.307668984854,197.080958966496,201.294469435758,175.435589439603,120.621751,151.127787,113.664414,141.827327,107.642501,134.264496
215,217.4518,244.9754,197.9597,228.9042,176.438,202.6078,243.229989827459,216.978975913858,229.209618749274,198.030022349881,203.178247201721,176.368714650443,121.12182,151.722487,114.111345,142.329572,108.068762,134.753591
216,217.8543,243.979,198.8492,230.3876,177.611,205.1525,243.570933599716,217.485691448756,230.065982591805,198.963559520126,204.816580850871,177.292065955144,121.626011,152.314693,114.56098,142.82918,108.497876,135.240094
217,218.2569,243.5803,199.9002,231.5097,178.5818,208.5033,243.999767856025,217.881483431488,230.889729310564,199.880644850827,206.249406501948,178.220758930792,122.133625,152.903735,115.012787,143.325741,108.929308,135.723598
218,218.458,244.1782,200.8298,230.8686,179.4312,208.7454,244.402672760856,218.152129066239,231.693600234316,200.78732432655,207.678715365333,179.177325816593,122.64402,153.489105,115.466287,143.818922,109.362572,136.203752
219,218.6593,244.3377,201.5573,231.3093,180.1999,208.4226,244.830984170918,218.374975082691,232.457603585722,201.683913199268,209.073898726397,180.146362602932,123.156612,154.070559,115.921036,144.30839,109.797223,136.680245
220,218.8203,244.0188,202.4058,233.392,181.009,210.9239,245.336037942926,218.627368210525,233.161747587442,202.570726720957,210.404347870512,181.112465280194,123.670872,154.64752,116.376639,144.793862,110.232862,137.152813
221,218.941,244.1384,203.2542,233.5922,181.8586,213.222,245.969169933589,218.986655179426,233.786040462137,203.44808014359,211.639454083047,182.060229838767,124.186331,155.219659,116.832736,145.275143,110.669126,137.621233
222,218.941,245.4534,204.3449,233.5922,182.9106,212.0932,246.808196765343,219.380414661361,234.235315261844,204.311910764829,212.745860392732,182.994421203783,124.702548,155.786832,117.289006,145.752025,111.10569,138.085312
223,219.1019,247.365,205.3545,235.5531,183.8007,212.5771,247.812836634656,219.734996949562,234.525462208402,205.162529354501,213.745253565899,183.927876175853,125.219149,156.348708,117.745161,146.224339,111.542262,138.5449
