M9_board,M9_center,M9_corner,M8_board,M8_center,M8_corner,M7_board,M7_center,M7_corner
436.7625123,405.5016222,415.6602686,425.4770934,397.164338,403.95249,417.6263121,390.6991021,403.95249
437.2379346,405.9976878,416.1431959,425.876705,397.5991321,404.3777643,418.0142013,391.1159401,404.3777643
437.7077978,406.4914769,416.6231072,426.2716869,398.031831,404.8006614,418.3975193,391.5307814,404.8006614
438.1722421,406.9829388,417.1000093,426.6620884,398.4623997,405.22116,418.7763185,391.9435884,405.22116
438.6311991,407.4720307,417.5739032,427.0479463,398.8908081,405.6392426,419.1506555,392.3543353,405.6392426
439.0847277,407.9587159,418.0448007,427.4293352,399.3170304,406.0548944,419.520588,392.7629919,406.0548944
439.5329914,408.4429622,418.5127053,427.8063166,399.741045,406.4681023,419.8861748,393.1695225,406.4681023
439.9759985,408.9247433,418.9776194,428.1789512,400.1628263,406.8788608,420.2474751,393.5739252,406.8788608
440.4138585,409.404039,419.4395612,428.5472788,400.582372,407.2871614,420.604549,393.9761948,407.2871614
440.846656,409.8808225,419.8985415,428.9113853,400.9996689,407.6930003,420.9574561,394.3762996,407.6930003
441.2744163,410.3550872,420.3545702,429.2713201,401.4147156,408.0963751,421.3062561,394.7742342,408.0963751
441.6971943,410.8268173,420.8076543,429.627132,401.8274793,408.4972849,421.6510084,395.1699809,408.4972849
442.1151058,411.2960044,421.2578071,429.978912,402.2379744,408.8957305,421.991773,395.5635471,408.8957305
442.5282566,411.7626398,421.7050407,430.3266818,402.6461949,409.2917128,422.3286097,395.9549277,409.2917128
442.9366621,412.2267189,422.1493701,430.6705323,403.0521383,409.6852352,422.6615767,396.3441207,409.6852352
443.3403971,412.6882382,422.5908098,431.0105054,403.4558157,410.0763018,422.9907323,396.7311245,410.0763018
443.7395254,413.1471975,423.0293692,431.346658,403.8572115,410.4649168,423.316134,397.1159398,410.4649168
444.1341467,413.6035978,423.4650661,431.6790551,404.2563298,410.8510876,423.6378382,397.4985681,410.8510876
444.5243537,414.0574404,423.8979152,432.0077429,404.6531751,411.234821,423.955902,397.8790124,411.234821
444.9101452,414.5087288,424.327931,432.3328018,405.0477513,411.6161244,424.2703804,398.257276,411.6161244
445.2916236,414.9574671,424.7551289,432.6542521,405.4400641,411.9950058,424.5813281,398.6333725,411.9950058
445.6688339,415.4036605,425.1795242,432.9721666,405.8301218,412.3714736,424.8887987,399.0072942,412.3714736
446.0418833,415.8473154,425.601135,433.2866049,406.2179292,412.7455378,425.1928451,399.3790405,412.7455378
446.4108182,416.2884401,426.0199742,433.5975939,406.6034943,413.1172083,425.4935197,399.7486402,413.1172083
446.7756796,416.7270249,426.4360589,433.9052245,406.9868266,413.4864943,425.7908766,400.1160853,413.4864943
447.1365436,417.1631059,426.8494059,434.2095175,407.3679342,413.8534064,426.0849613,400.4813901,413.8534064
447.4934535,417.5966846,427.2600313,434.5105253,407.7468258,414.2179563,426.3758264,400.8445559,414.2179563
447.8465193,418.02777,427.6679528,434.8083142,408.1235121,414.5801552,426.663519,401.2056004,414.5801552
448.1957615,418.4563685,428.0731868,435.1029073,408.4979884,414.9400115,426.9480882,401.5645267,414.9400115
448.9974529,418.8836308,428.4828771,435.8693191,408.8713835,415.3004462,427.714183,401.9224201,415.3004462
449.9848401,419.3110949,428.908696,436.8247382,409.2453157,415.666332,428.6707209,402.28095,415.666332
450.7056595,419.7430104,429.3619671,437.5032598,409.6240946,416.0453532,429.3453789,402.6443959,416.0453532
451.3602409,420.180857,429.8355109,438.1139462,410.0091374,416.4352633,429.950348,403.0142703,416.4352633
451.9939317,420.626982,430.3297764,438.7026822,410.4028066,416.8381561,430.5328083,403.3928774,416.8381561
452.6193282,421.0828094,430.8426692,439.2829018,410.8065501,417.2545573,431.1062415,403.7817052,417.2545573
453.2425759,421.5490851,431.3713745,439.8608503,411.2211395,417.6841336,431.6771957,404.1814845,417.6841336
453.8668007,422.0259415,431.9130171,440.4397484,411.6466669,418.1260592,432.2488799,404.5923534,418.1260592
454.4930743,422.513085,432.4649437,441.0207278,412.0828642,418.5792466,432.8225286,405.0140099,418.5792466
455.1213891,423.0099213,433.0248239,441.6039634,412.5291008,419.0424933,433.3982456,405.4458538,419.0424933
455.7515007,423.5156862,433.5906694,442.1891697,412.9846357,419.5145745,433.9757893,405.8871077,419.5145745
456.3827288,424.0295167,434.1608138,442.7758367,413.4485871,419.9942973,434.5546593,406.3368995,419.9942973
457.0143568,424.5505279,434.733876,443.3630523,413.9200598,420.4805417,435.1340999,406.7943309,420.4805417
457.6455796,425.0778123,435.3087174,443.950141,414.3981489,420.97227,435.7133443,407.2584786,420.97227
458.2754832,425.6105206,435.8844095,444.5363057,414.8820069,421.4685428,436.2915869,407.7284832,421.4685428
458.9034571,426.1478503,436.4601856,445.1208587,415.3708096,421.9685111,436.8682073,408.2035343,421.9685111
459.5289274,426.6890413,437.0354315,445.7031036,415.8637952,422.4714165,437.4425183,408.6828689,422.4714165
460.1511823,427.2333998,437.6096421,446.282567,416.3602662,422.9765813,438.0139784,409.165778,422.9765813
460.7695473,427.7803117,438.1824039,446.8585835,416.85958,423.4834071,438.5820526,409.6516204,423.4834071
461.3837744,428.3291824,438.753386,447.4307918,417.361167,423.9913614,439.1462997,410.1398156,423.9913614
461.9935181,428.8795034,439.3223139,447.9987368,417.8644966,424.4999756,439.7062665,410.6298333,424.4999756
462.5982342,429.4308017,439.8889699,448.5621432,418.3690831,425.0088342,440.2617134,411.1212005,425.0088342
463.1977466,429.9826576,440.4531725,449.1206565,418.8745106,425.517571,440.81229,411.6134776,425.517571
463.7918344,430.5346941,441.0147759,449.6741562,419.3803956,426.0258637,441.3578284,412.1062944,426.0258637
464.3802541,431.0865757,441.5736625,450.2223532,419.8863943,426.5334267,441.8981246,412.5992947,426.5334267
464.9629201,431.6379937,442.1297313,450.7651661,420.3922063,427.0400085,442.4330477,413.0921719,427.0400085
465.5397822,432.1886764,442.6829121,451.3024183,420.8975473,427.5453882,442.9624138,413.5846537,427.5453882
466.1105672,432.7383968,443.2331381,451.8340785,421.4021594,428.0493705,443.4862172,414.0764971,428.0493705
466.6752144,433.2869233,443.780359,452.3600033,421.9058497,428.5517837,444.0043257,414.5674759,428.5517837
467.2339559,433.8340683,444.3245363,452.8802666,422.408421,429.0524762,444.5167595,415.0573922,429.0524762
467.7866029,434.379659,444.8656363,453.394746,422.9096765,429.5513154,445.0234761,415.5460755,429.5513154
468.3330771,434.9235478,445.4036355,453.9035031,423.4094814,430.0481849,445.5244911,416.033362,430.0481849
468.8734187,435.4655966,445.9385169,454.4064892,423.9077015,430.5429812,446.0197432,416.5191167,430.5429812
469.4077332,436.0056868,446.470261,454.9037753,424.4042039,431.0356155,446.5093282,417.0032218,431.0356155
469.9360305,436.5437141,446.9988599,455.3953141,424.8988822,431.5260092,446.9932187,417.4855802,431.5260092
470.4583479,437.0795809,447.5243045,455.8812462,425.3916333,432.0140916,447.4714953,417.9660794,432.0140916
470.9746956,437.6132097,448.0465937,456.3615305,425.8823934,432.4998055,447.9441842,418.444633,432.4998055
471.4850922,438.1445249,448.565725,456.83627,426.3710655,432.9830971,448.4113342,418.9211688,432.9830971
471.9897391,438.6734648,449.0816993,457.3054735,426.8576116,433.4639226,448.8729979,419.395623,433.4639226
472.4885648,439.1999772,449.5945195,457.7692453,427.3419528,433.942242,449.3292403,419.867936,433.942242
472.981731,439.7240125,450.1041906,458.2275765,427.8240414,434.4180217,449.7801151,420.3380567,434.4180217
473.4692077,440.2455265,450.6107183,458.6806289,428.3038373,434.8912323,450.2257019,420.8059426,434.8912323
473.9510927,440.7644869,451.114112,459.1283902,428.7812912,435.3618525,450.666049,421.2715558,435.3618525
474.4275273,441.2808607,451.6143724,459.5709793,429.2564092,435.8298605,451.1012138,421.7348651,435.8298605
474.8985878,441.7946241,452.1115125,460.0084141,429.7291299,436.2952397,451.531317,422.1958345,436.2952397
475.3642094,442.3057555,452.605543,460.4408227,430.1994427,436.7579761,451.9563568,422.6544523,436.7579761
475.8244772,442.8142383,453.0964757,460.8681925,430.6673194,437.2180592,452.3764663,423.1106966,437.2180592
476.2797007,443.3200534,453.5843193,461.2907106,431.1327353,437.6754795,452.7916952,423.5645432,437.6754795
476.7297541,443.8231967,454.0690867,461.7083389,431.5957121,438.1302326,453.2020821,424.0159921,438.1302326
477.1747146,444.3236538,454.5507905,462.1212286,432.0562142,438.5823118,453.6077346,424.4650278,438.5823118
477.6147027,444.8214205,455.0294437,462.5293835,432.5142331,439.0317155,454.0087564,424.9116523,439.0317155
478.0497784,445.3164933,455.5050588,462.9329384,432.9697634,439.4784425,454.4051306,425.3558466,439.4784425
478.480029,445.8088728,455.977652,463.3318757,433.42282,439.9224936,454.7969638,425.7976138,439.9224936
478.9055373,446.2985558,456.4472324,463.7263761,433.8733875,440.3638714,455.1843418,426.237261,440.3638714
479.3263547,446.7855413,456.913822,464.1164086,434.3214658,440.8025788,455.5673002,426.6742183,440.8025788
479.7424713,447.2698343,457.3774335,464.5021142,434.7670598,441.2386187,455.9459877,427.1085901,441.2386187
480.154095,447.7514394,457.8380822,464.8834958,435.2101696,441.6719978,456.3203426,427.5402561,441.6719978
480.5612792,448.2303617,458.2957838,465.260679,435.6507983,442.1027233,456.6905183,427.9696095,442.1027233
